entity,code,theyear,prevalence_mental_disorders_male_percent,prevalence_mental_disorders_female_percent,population_historical_estimates,continent,unique_id,happiness_rank,country,region,happiness_score,economy_gdp_per_capita,family_social_support,health_life_expectancy,freedom,trust_government_corruption,generosity,the_year
Benin,BEN,2018,11.48929209,12.1292376,11485035,,135,136,Benin,Sub-Saharan Africa,4.141,0.378,0.372,0.24,0.44,0.067,0.163,2018
Benin,BEN,2019,11.51486182,12.12292612,11801151,,101,102,Benin,Sub-Saharan Africa,4.883,0.393,0.437,0.397,0.349,0.082,0.175,2019
Bhutan,BTN,2015,12.06501421,12.16038999,727885,Asia,78,79,Bhutan,Southern Asia,5.253,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,2015
Bhutan,BTN,2016,12.03156097,12.13771733,736706,,83,84,Bhutan,Southern Asia,5.196,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,2016
Bhutan,BTN,2017,11.99483739,12.11781226,745563,,96,97,Bhutan,Southern Asia,5.011000156,0.885416389,1.340126514,0.495879292,0.501537681,0.17338039,0.474054545,2017
Bhutan,BTN,2018,11.98338108,12.13504088,754396,,96,97,Bhutan,Southern Asia,5.082,0.796,1.335,0.527,0.541,0.171,0.364,2018
Bhutan,BTN,2019,11.99385712,12.17926615,763094,,94,95,Bhutan,Southern Asia,5.082,0.813,1.321,0.604,0.457,0.167,0.37,2019
Bolivia,BOL,2015,14.16866809,15.97618758,10869732,South America,50,51,Bolivia,Latin America and Caribbean,5.89,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,2015
Bolivia,BOL,2016,14.16881289,15.96456806,11031822,,58,59,Bolivia,Latin America and Caribbean,5.822,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,2016
Bolivia,BOL,2017,14.17056706,15.95315663,11192853,,57,58,Bolivia,Latin America and Caribbean,5.822999954,0.833756566,1.227619052,0.47363025,0.558732927,0.060477726,0.225560725,2017
Bolivia,BOL,2018,14.14841898,15.9467175,11353140,,61,62,Bolivia,Latin America and Caribbean,5.752,0.751,1.223,0.508,0.606,0.054,0.141,2018
