entity,code,theyear,prevalence_mental_disorders_male_percent,prevalence_mental_disorders_female_percent,population_historical_estimates,continent,unique_id,happiness_rank,country,region,happiness_score,economy_gdp_per_capita,family_social_support,health_life_expectancy,freedom,trust_government_corruption,generosity,the_year
Belgium,BEL,2019,14.76766177,15.11466665,11539326,,17,18,Belgium,Western Europe,6.923,1.356,1.504,0.986,0.473,0.21,0.16,2019
Belgium,BEL,2020,,,11589616,,19,20,Belgium,Western Europe,6.863500118,1.295842767,1.398677588,0.964901149,0.499805421,0.208724052,0.146966159,2020
Belgium,BEL,2021,,,11632334,,19,20,Belgium,Western Europe,6.834,1.463,0.998,0.747,0.489,0.187,0.088,2021
Belize,BLZ,2016,14.50593129,14.06850891,368399,,51,52,Belize,Latin America and Caribbean,5.956,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,2016
Belize,BLZ,2017,14.50259615,14.08337414,375775,,49,50,Belize,-,5.955999851,0.907975316,1.081417799,0.450191766,0.547509372,0.096581072,0.240015641,2017
Belize,BLZ,2018,14.50603333,14.10036832,383071,,48,49,Belize,-,5.956,0.807,1.101,0.474,0.593,0.089,0.183,2018
Benin,BEN,2015,11.46887167,12.12258657,10575962,Africa,154,155,Benin,Sub-Saharan Africa,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,2015
Benin,BEN,2016,11.46979377,12.12946088,10872072,,152,153,Benin,Sub-Saharan Africa,3.484,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,2016
Benin,BEN,2017,11.47374067,12.13049077,11175192,,142,143,Benin,Sub-Saharan Africa,3.657000065,0.431085408,0.435299844,0.209930211,0.425962776,0.060929015,0.207948461,2017
Benin,BEN,2018,11.48929209,12.1292376,11485035,,135,136,Benin,Sub-Saharan Africa,4.141,0.378,0.372,0.24,0.44,0.067,0.163,2018
Benin,BEN,2019,11.51486182,12.12292612,11801151,,101,102,Benin,Sub-Saharan Africa,4.883,0.393,0.437,0.397,0.349,0.082,0.175,2019
Benin,BEN,2020,,,12123198,,85,86,Benin,Sub-Saharan Africa,5.21600008,0.366244704,0.352428436,0.328062952,0.40583989,0.125931874,0.196670428,2020
Benin,BEN,2021,,,12451031,,98,99,Benin,Sub-Saharan Africa,5.045,0.507,0.058,0.196,0.457,0.178,0.166,2021
Bhutan,BTN,2015,12.06501421,12.16038999,727885,Asia,78,79,Bhutan,Southern Asia,5.253,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,2015
Bhutan,BTN,2016,12.03156097,12.13771733,736706,,83,84,Bhutan,Southern Asia,5.196,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,2016
